Patch_ID;Latitude;Longitude;Area_ha           ;Camp;Fire_Data;Harvest_Data
446;24.16779211;-33.6982994;11.7633;Hartman;0;2004-2005-2010
447;24.18115638;-33.6982994;6.7167;Hartman;0;2004-2009-2015
448;24.17621704;-33.6952019;12.3053;Hartman;0;2004-2009-2015-2019
449;24.18237532;-33.7011986;4.1744;Hartman;2016;2009
450;24.17693994;-33.6991997;8.3567;Hartman;0;2004-2009-2015
451;24.17964749;-33.7062988;21.6555;Hartman;2016;2006
452;24.18409463;-33.7072983;7.6494;Hartman;0;2004-2009-2015
453;24.15481237;-33.7090988;36.0144;Entkraal;2009-2015-2016;2001-2004-2009-2016
454;24.15086534;-33.6986008;35.061;Entkraal;2009-2015-2016;2001-2009
455;24.17593987;-33.7289009;49.4067;Swartbos-nek;1996-2002-2003-2013-2016;2003-2006-2010-2015
456;24.16779864;-33.7317009;23.4503;Swartbos-nek;1996-2002-2003-2013-2016;2003-2006-2010-2015
457;24.16317328;-33.7364998;12.092;Swartbos-nek;1996-2002-2016;2003-2006-2010
458;24.16025416;-33.7296982;3.3083;Swartbos-nek;1996-2002-2016;random-3
459;24.12715221;-33.7004013;4.8272;Kariega;2002-2015;2005-2010-2015-2019
460;24.13085996;-33.7018013;4.6944;Kariega;2002-2015;2005-2010-2015-2019
461;24.13492411;-33.6954994;54.6164;Kariega;2015-2016;2005-2008-2012-2019
462;24.12533468;-33.6948013;11.7125;Kariega;2002-2003-2015-2016;2005-2009-2015-2020
463;24.11799228;-33.7174988;5.0251;Kariega;2002-2003-2015-2016;2005-2009-2015-2020
464;24.1229718;-33.7159996;16.6879;Kariega;2002-2015;2005-2010-2015-2019
465;24.12431857;-33.7099991;16.7378;Kariega;2002-2015;2005-2010-2015-2019
466;24.1774168;-33.7106018;14.16;Sandrivier;1999;2003-2011-2014-2018
467;24.17267572;-33.7136993;25.6037;Sandrivier;1999;2003-2007-2013-2017
468;24.18333133;-33.7103996;3.1601;Sandrivier;1999;2003-2011-2013-2017
469;24.18329756;-33.7126999;1.9291;Sandrivier;1999;2003-2011-2013-2017
470;24.1820202;-33.7145004;1.9148;Sandrivier;1999;2003-2011-2013-2017
471;24.18267996;-33.7173004;3.4906;Sandrivier;1999;2003-2011-2013-2017
472;24.16891284;-33.7067986;21.0584;Tweeling;1999-2014-2020;2004-2008-2014-2017-2020
473;24.15478897;-33.7310982;21.0637;Baken se kop;2002-2013-2016;2002-2006-2010-2016
474;24.14849129;-33.7276993;20.7253;Baken se kop;2002-2010-2016;2002-2006-2010-2016
475;24.14009014;-33.7265015;3.8823;Baken se kop;2003-2013-2016;2004-2010-2016
476;24.17699594;-33.7229004;4.5191;Tier se mis;2003-2014;2003-2007-2011
477;24.17386081;-33.7196999;4.8044;Tier se mis;2003-2014;2003-2011
478;24.15200455;-33.7170982;2.7945;Koudenek;2000-2003-2010-2016;2009-2014
479;24.15474912;-33.7181015;2.9932;Koudenek;2000-2003-2010-2016;2009-2014
480;24.14559662;-33.7148018;12.2908;Boesmanrant;2000-2010-2016;2004-2009-2016
481;24.14177002;-33.7014008;6.6089;Kortklowe;2000-2015;2001-2005-2010-2014
482;24.14553824;-33.7041016;3.1865;Kortklowe;2000-2009-2016;2000-2004-2009-2016
483;24.14931522;-33.7050018;6.9629;Kortklowe;2000-2009-2016;2000-2004-2009-2016
484;24.14310997;-33.6963005;3.0039;Steilkop;2000-2015;2000-2009
485;24.19885384;-33.7206001;13.3746;Saliekloof;1996-2019;random-2
486;24.1904135;-33.7303009;15.4768;Saliekloof;1996;random-2
487;24.15973129;-33.6926003;23.9756;Bloukop;2016;2006
488;24.19182235;-33.7140999;40.235;Middelkop;1999-2016-2020;2004-2007-2012-2017-2020
489;24.19967791;-33.7168007;4.6623;Middelkop;1999-2020;2004-2007-2012-2017-2020
 ; ;;;;;
 ; ;;;;;
 ; ;;;;;
 ; ;;;;;
 ; ;;;;;
