Latitude;Longitude;Area;Fire
24.167792108;-33.6982994;11.7633;
24.1811563763;-33.6982994;6.7167;
24.1762170351;-33.6952019;12.3053;
24.1823753233;-33.7011986;4.1744;
24.1769399351;-33.6991997;8.3567;
24.1796474903;-33.7062988;21.6555;
24.1840946304;-33.7072983;7.6494;
24.1548123729;-33.7090988;36.0144;
24.1508653356;-33.6986008;35.061;
24.1759398737;-33.7289009;49.4067;
24.1677986388;-33.7317009;23.4503;
24.1631732769;-33.7364998;12.092;
24.1602541588;-33.7296982;3.3083;
24.1271522051;-33.7004013;4.8272;
24.1308599566;-33.7018013;4.6944;
24.1349241085;-33.6954994;54.6164;
24.1253346825;-33.6948013;11.7125;
24.1179922769;-33.7174988;5.0251;
24.1229717989;-33.7159996;16.6879;
24.1243185708;-33.7099991;16.7378;
24.1774168006;-33.7106018;14.16;
24.1726757232;-33.7136993;25.6037;
24.1833313309;-33.7103996;3.1601;
24.1832975555;-33.7126999;1.9291;
24.1820202028;-33.7145004;1.9148;
24.1826799571;-33.7173004;3.4906;
24.1689128395;-33.7067986;21.0584;
24.1547889726;-33.7310982;21.0637;
24.1484912884;-33.7276993;20.7253;
24.1400901353;-33.7265015;3.8823;
24.1769959401;-33.7229004;4.5191;
24.1738608083;-33.7196999;4.8044;
24.1520045476;-33.7170982;2.7945;
24.154749115;-33.7181015;2.9932;
24.1455966165;-33.7148018;12.2908;
24.1417700175;-33.7014008;6.6089;
24.1455382377;-33.7041016;3.1865;
24.1493152236;-33.7050018;6.9629;
24.1431099695;-33.6963005;3.0039;
24.198853839;-33.7206001;13.3746;
24.1904134998;-33.7303009;15.4768;
24.1597312903;-33.6926003;23.9756;
24.1918223479;-33.7140999;40.235;
24.1996779093;-33.7168007;4.6623;
24.1739825965;-33.7350998;5.4115;
24.1721236223;-33.7401009;3.7622;
24.18914571;-33.7364998;3.2015;
24.1847607364;-33.7224998;5.1852;
24.1494808604;-33.7220001;34.8641;
